,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14
ATP11B_CNV,0.351293487095012,0.020826286524603325,0.1093900442954411,0.0003679209903120422,-0.08253582522005759,-0.04750881001366418,0.001184729907204911,-0.00034393386413475284,0.0002268605744711405,0.0002939056209680978,0.06661560231399824,-0.006248145659245941,0.01755351432753363,-0.043086106359903564
SOX2_CNV,0.35138734430269053,0.020462247937507387,0.11001178530843114,0.0005523979360486152,-0.08478766667557205,-0.047455610974329404,0.0013908195124077642,-0.000330209959452163,0.0005241875630708113,0.00030617140106981353,0.06312304412501236,-0.004488030105669571,0.017028144589303466,-0.04438601430280148
RN7SL703P_CNV,0.3517095261032899,0.020422416419272754,0.10984501019881286,0.0005100264198386396,-0.08447612704517427,-0.04734710012205158,0.0016129848509143624,-0.00034729103476325077,0.00042571391322047725,0.00025646837457184076,0.06266414757926302,-0.004253820425406353,0.01670926521662922,-0.04443463985446499
RNA5SP150_CNV,0.3517095261032899,0.020422416419272754,0.10984501019881286,0.0005100264198386396,-0.08447612704517427,-0.04734710012205158,0.0016129848509143624,-0.00034729103476325077,0.00042571391322047725,0.00025646837457184076,0.06266414757926302,-0.004253820425406353,0.01670926521662922,-0.04443463985446499
RN7SKP265_CNV,0.3517098236352427,0.019683299471108185,0.10986532055739633,0.00039991020895024595,-0.08474083435835075,-0.04660566585949008,0.0014977429386858546,-0.0003952732571868911,0.00025967739733420513,0.00019817158723352585,0.06340252671624914,-0.003743931071879753,0.017327654738583175,-0.04563075896930801
MCF2L2_CNV,0.3504263592576828,0.019818891948269104,0.10936167460342862,0.0004037278301566394,-0.08259713602779686,-0.047278050313833885,0.0017296576303823079,-0.00018910276010302468,0.0002463119584596205,0.0003471746559701235,0.06595365504877941,-0.007656086297181732,0.01698859607247292,-0.04310137928671922
DCUN1D1_CNV,0.35031095129844836,0.020231219768770747,0.10923082656200156,0.000402121899410474,-0.08199317965857279,-0.047982540341543665,0.0011592461957766493,-0.00024908230974169315,0.00025198408960768544,0.0003430660976994964,0.06685933506458325,-0.0061977560851298385,0.017473671688179433,-0.04292564526395192
MCCC1_CNV,0.34999541994469424,0.019936351037808112,0.10952955619918112,0.000363576112371558,-0.08228377246575251,-0.04712266885419328,0.001500221100978971,-0.00018874683096086893,0.00024613008877279126,0.00039935798155629504,0.06624150208758826,-0.008498398475361926,0.017711705548345773,-0.042897206390463904
B3GNT5_CNV,0.349663344903179,0.018451387286102114,0.10831377566842994,0.0002981664549978525,-0.08137210928158063,-0.048666513967712016,0.0014870185685346637,-0.00021900930255290378,0.0003917535042365158,0.0003979931349788883,0.067150595987712,-0.005844400351112641,0.018043790232124924,-0.04300611823812946
RNA5SP151_CNV,0.349663344903179,0.018451387286102114,0.10831377566842994,0.0002981664549978525,-0.08137210928158063,-0.048666513967712016,0.0014870185685346637,-0.00021900930255290378,0.0003917535042365158,0.0003979931349788883,0.067150595987712,-0.005844400351112641,0.018043790232124924,-0.04300611823812946
LAMP3_CNV,0.3490571146055196,0.017805810219038466,0.10889722687754798,0.0002907533201448992,-0.08173011212832275,-0.04866010850768109,0.0022568368592303374,-0.00019487200280129437,0.00038904142061226785,0.0005108090014528204,0.0665260706081468,-0.007173011088655137,0.018424983398258505,-0.04335237629630112
EIF2B5_CNV,0.3457403235231252,0.01939802852770128,0.10411569675657317,0.00037444235795630696,-0.08064460026431591,-0.04813572886680082,0.0029183970530608262,-0.0002642237636757628,0.00012410309548208402,0.0003031657657274326,0.06726538754403141,-0.012684362132099074,0.016040396005854596,-0.051052129796697224
ABCC5_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
AP2M1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
CYP2AB1P_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
DVL3_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
HTR3C_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
HTR3D_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
HTR3E_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
KLHL24_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
KLHL6_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
LINC00888_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
MAP6D1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
MIR4448_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
PARL_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
SNORA4|ENSG00000251730.1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
SNORA63|ENSG00000199363.1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
SNORA63|ENSG00000201229.1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
